longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-119.01,36.06,25.0,1505.0,,1392.0,359.0,1.6812,50033.0,INLAND
-119.46,35.14,30.0,2943.0,,1565.0,584.0,2.5313,50041.0,INLAND
-122.44,37.8,52.0,3830.0,,1310.0,963.0,3.4801,457856.54,NEAR BAY
-118.72,34.28,17.0,3051.0,,1705.0,495.0,5.7376,234517.0,<1H OCEAN
-121.93,36.62,34.0,2351.0,,1063.0,428.0,3.725,276299.0,NEAR OCEAN
-117.61,34.08,12.0,4427.0,,2400.0,843.0,4.7147,157919.0,INLAND
-118.02,33.89,36.0,1375.0,,670.0,221.0,5.0839,212784.01,<1H OCEAN
-118.08,33.92,38.0,1335.0,,1011.0,269.0,3.6908,159604.0,<1H OCEAN
-122.08,37.39,4.0,2292.0,,1050.0,584.0,4.8036,288795.06,NEAR BAY
-118.23,34.18,45.0,2332.0,,943.0,339.0,8.1132,463984.32,<1H OCEAN
-120.37,38.01,30.0,473.0,,242.0,93.0,2.5417,122023.0,INLAND
-118.12,34.08,35.0,2248.0,,1762.0,622.0,3.0,233649.0,<1H OCEAN
-117.91,33.76,20.0,4413.0,,4818.0,1063.0,2.8594,203427.0,<1H OCEAN
-119.19,34.2,18.0,3620.0,,3171.0,779.0,3.3409,211685.0,NEAR OCEAN
-117.98,33.92,27.0,3700.0,,1793.0,552.0,5.3668,235547.0,<1H OCEAN
-117.91,34.02,22.0,6269.0,,5587.0,1251.0,3.8201,156506.0,<1H OCEAN
-122.1,37.69,41.0,746.0,,387.0,161.0,3.9063,179983.0,NEAR BAY
-121.02,37.48,26.0,467.0,,244.0,83.0,4.1346,178666.0,INLAND
-117.05,32.75,36.0,2024.0,,1030.0,390.0,3.8233,142036.0,NEAR OCEAN
-120.97,37.43,27.0,1380.0,,810.0,262.0,2.1875,123555.0,INLAND
-122.16,37.45,47.0,4234.0,,1808.0,1093.0,4.2297,415091.04,NEAR BAY
-118.37,34.07,50.0,2519.0,,1117.0,516.0,4.3667,426459.21,<1H OCEAN
-119.73,36.83,8.0,3602.0,,1959.0,580.0,5.3478,144576.0,INLAND
-122.39,37.59,32.0,4497.0,,1846.0,715.0,6.1323,475516.79,NEAR OCEAN
-117.14,32.9,16.0,3217.0,,2054.0,687.0,4.2234,167330.0,<1H OCEAN
-119.38,36.53,38.0,1281.0,,1423.0,293.0,1.9602,55629.0,INLAND
-118.36,33.96,26.0,3543.0,,2742.0,951.0,2.5504,157290.0,<1H OCEAN
